name,year,total_budget,total_budget_high,total_budget_notes,team_size,team_size_high,dev_time,revenue,revenue_high,copies_sold,marketing_budget,notes,pre_orders,dev_budget,total_budget_source,team_size_source,dev_time_source,revenue_source,copies_sold_source,marketing_budget_source,pre_orders_source,dev_budget_source
Gee Bee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20190801205701/https://www.4gamer.net/games/999/G999905/20180313040/,N/A,N/A,N/A
FS1 Flight Simulator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Super Invader,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Temple of Apshai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Adventure,1980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20080830011315/http://retro.ign.com/articles/903/903024p1.html,N/A,N/A,N/A
Battlezone,1980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gamasutra.com/view/feature/3766/atari_the_golden_years__a_.php?print=1,N/A,N/A,N/A
Missile Command,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.ign.com/articles/2008/08/26/top-10-best-selling-atari-2600-games,N/A,N/A,N/A
Mystery House,1980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://books.google.com/books?id=HJNvZLvpCEQC    (page 135),N/A,N/A,N/A
Wizard and the Princess,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Zork I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,378K,N/A,Sales up until 1986,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20080924074642/http://www.gamesetwatch.com/2008/09/great_scott_infocoms_alltime_s.php,N/A,N/A,N/A
Apple Panic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Astrosmash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2M,N/A,Sales up until March 1999,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89326350/edmonton-journal/,N/A,N/A,N/A
Castle Wolfenstein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Defender,1981,N/A,N/A,N/A,N/A,N/A,N/A,1.5B,N/A,70K,N/A,Revenue and sales as of 2020,N/A,N/A,N/A,N/A,N/A,https://books.google.lv/books?id=Y3D0DwAAQBAJ&pg=PA200&redir_esc=y#v=onepage&q&f=false,https://books.google.lv/books?id=Y3D0DwAAQBAJ&pg=PA200&redir_esc=y#v=onepage&q&f=false,N/A,N/A,N/A
Donkey Kong,1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://archive.org/details/Leisure_Line_1992-06_Leisure_Allied_Industries_AU/page/n24/mode/2up
Gorgon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
K-Razy Shoot-Out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Raster Blaster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Rear Guard ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.4K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Sneakers,1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10K,N/A,Sales up until October 1981,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/softline_1.2.pdf (page 22),N/A,N/A,N/A
Star Strike,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,800K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20071015081516/http://www.intellivisiongames.com/gamepage.php?gameId=95,N/A,N/A,N/A
Threshold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://dadgum.com/halcyon/BOOK/SCHWADER.HTM,N/A,N/A,N/A
Zork II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,173K,N/A,Sales up until 1986,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20080924074642/http://www.gamesetwatch.com/2008/09/great_scott_infocoms_alltime_s.php,N/A,N/A,N/A
Choplifter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89259499/the-sacramento-bee/,N/A,N/A,N/A
Fort Apocalypse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75K,N/A,Sales for the Atari only,N/A,N/A,N/A,N/A,N/A,N/A,https://dadgum.com/halcyon/BOOK/HALES.HTM,N/A,N/A,N/A
Pitfall!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5M,N/A,Sales up until 1984,N/A,N/A,N/A,N/A,N/A,N/A,https://www.atarimagazines.com/v3n2/levy.html,N/A,N/A,N/A
Snack Attack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25K,N/A,Sales up until June 1982,N/A,N/A,N/A,N/A,N/A,N/A,http://www.cgwmuseum.org/galleries/issues/cgw_2.5.pdf  (page 2),N/A,N/A,N/A
Star Maze,N/A,N/A,N/A,N/A,N/A,N/A,10 months,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://archive.org/details/TODAYV02N03/page/n9/mode/2up,N/A,N/A,N/A,N/A,N/A
Ultima II: The Revenge of the Enchantress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,Sales up until 1990,N/A,N/A,N/A,N/A,N/A,N/A,https://archive.org/details/TheOfficialBookOfUltima/page/n35/mode/2up,N/A,N/A,N/A
Zork III,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129K,N/A,Sales up until 1986,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20080924074642/http://www.gamesetwatch.com/2008/09/great_scott_infocoms_alltime_s.php,N/A,N/A,N/A
Space Ark,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89258842/times-advocate/,N/A
Lode Runner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,300K,N/A,Sales up until 1984,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89260965/the-gazette/,N/A,N/A,N/A
The Elder Scrolls Online,N/A,200M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15M,N/A,Sales up until January 2020,N/A,N/A,https://web.archive.org/web/20200827094446/https://tamrielfoundry.com/articles/eso-200-million-project/,N/A,N/A,N/A,https://www.pcgamesn.com/the-elder-scrolls-online/shutting-down,N/A,N/A,N/A
Striker ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,700K,N/A,Sales up until 1995,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89957606/the-age/,N/A,N/A,N/A
IHRA Drag Racing,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,750K,N/A,Sales up until March 2003,N/A,N/A,N/A,N/A,N/A,N/A,http://www.dragraceresults.com/articles/0603/ihra-vir2l_game.html,N/A,N/A,N/A
Iron Helix,N/A,N/A,N/A,N/A,15,N/A,13 months,N/A,N/A,500K,N/A,Sales up until 1997,N/A,N/A,N/A,https://www.newspapers.com/clip/89623575/the-san-francisco-examiner/,https://www.newspapers.com/clip/89623575/the-san-francisco-examiner/,N/A,https://www.newspapers.com/clip/89623575/the-san-francisco-examiner/,N/A,N/A,N/A
Pokémon Gold and Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23M,50M,Sales up until 2009,N/A,N/A,N/A,N/A,N/A,N/A,https://kotaku.com/pokemon-gold-and-silver-getting-ds-remakes-5245005,https://www.newspapers.com/clip/89850320/the-age/,N/A,N/A
The Elder Scrolls III: Morrowind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4M,N/A,Sales up until 2005,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20100710090443/http://www.elderscrolls.com/news/press_081705.htm,N/A,N/A,N/A
The Elder Scrolls IV: Oblivion,N/A,N/A,N/A,N/A,N/A,N/A,4 years,N/A,N/A,3M,N/A,Sales up until 2007,N/A,N/A,N/A,N/A,https://www.gamespot.com/articles/elder-scrolls-iv-coming-to-pc-next-gen/1100-6107156/,N/A,https://www.wired.com/2007/01/oblivion-hits-3/,N/A,N/A,N/A
The Elder Scrolls V: Skyrim,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30M,N/A,Sales up until 2016,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20161122050536/http://www.glixel.com/interviews/skyrim-creator-todd-howard-talks-switch-vr-and-elder-scrolls-wait-w451761,N/A,N/A,N/A
Brink,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120M,140M,2.5M,N/A,Sales up until 2012,N/A,N/A,N/A,N/A,N/A,https://www.gameinformer.com/b/news/archive/2012/04/20/brink-sold-2-5-million-copies.aspx?PageIndex=2,https://www.gameinformer.com/b/news/archive/2012/04/20/brink-sold-2-5-million-copies.aspx?PageIndex=2,N/A,N/A,N/A
Grand Prix Circuit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,Sales up until 1991,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89676520/edmonton-journal/,N/A,N/A,N/A
Ace of Aces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,Sales up until 1991,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89676520/edmonton-journal/,N/A,N/A,N/A
The Duel: Test Drive II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,250K,N/A,Sales up until 1991,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/89676520/edmonton-journal/,N/A,N/A,N/A
Star Wars: The Old Republic,N/A,200M,N/A,N/A,800,N/A,6 years, 1B,N/A,N/A,N/A,Revenue up until 2019,N/A,N/A,https://web.archive.org/web/20141006180349/http://herocomplex.latimes.com/games/star-wars-the-old-republic-the-story-behind-a-galactic-gamble/#/0,https://web.archive.org/web/20141006180349/http://herocomplex.latimes.com/games/star-wars-the-old-republic-the-story-behind-a-galactic-gamble/#/0,https://web.archive.org/web/20141006180349/http://herocomplex.latimes.com/games/star-wars-the-old-republic-the-story-behind-a-galactic-gamble/#/0,https://www.gamespot.com/articles/huge-mmo-star-wars-the-old-republic-has-made-close/1100-6471011/,N/A,N/A,N/A,N/A
Doom 3,N/A,N/A,N/A,N/A,20,22,N/A,N/A,N/A,3.5M,N/A,Sales up until 2007,N/A,N/A,N/A,https://www.newspapers.com/clip/85597695/edmonton-journal/,N/A,N/A,https://web.archive.org/web/20090313172528/http://www.shacknews.com/docs/press/010710_id_carmack_emmys.x,N/A,N/A,N/A
The Long Dark,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5M,N/A,Sales up until 2021,N/A,N/A,N/A,N/A,N/A,N/A,https://www.vg247.com/long-dark-sold-5-million-units-seen-8-5-million-players-date,N/A,N/A,N/A
Doom,1993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85713241/the-sydney-morning-herald/,N/A,N/A,N/A
The Legend of Zelda: Ocarina of Time,N/A,12M,N/A,N/A,200,N/A,N/A,N/A,N/A,7.6M,N/A,N/A,N/A,N/A,https://www.chicagotribune.com/news/ct-xpm-1998-11-12-9811120369-story.html,https://www.chicagotribune.com/news/ct-xpm-1998-11-12-9811120369-story.html,N/A,N/A,https://www.ign.com/articles/2004/03/26/gdc-2004-the-history-of-zelda,N/A,N/A,N/A
Computer Bismarck,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/88724012/the-philadelphia-inquirer/,N/A,N/A,N/A
Drawn to Death,N/A,12M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.youtube.com/watch?v=3x9mlJnVDzM   (at 12:53),N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grand Theft Auto: San Andreas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.5M,N/A,Sales up until 2011,N/A,10M,N/A,N/A,N/A,N/A,https://kotaku.com/gta-iv-overtakes-san-andreas-in-lifetime-sales-correct-5840484,N/A,N/A,https://www.newspapers.com/clip/84996569/gta-sa-budget/
Wayne Gretzky Hockey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,350K,N/A,Sales up until 1995,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/19970605103153/http://www.bethsoft.com/html/about2.html,N/A,N/A,N/A
Halo 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,600M,N/A,8.1M,N/A,Sales up until 2008,N/A,N/A,N/A,N/A,N/A,https://www.bloomberg.com/news/articles/2010-08-26/the-halo-effect-of-microsofts-halo,https://www.yahoo.com/now/2008-01-04-360-sales-reach-17-7-million-halo-3-surges-to-8-1.html,N/A,N/A,N/A
Mia's Reading Adventure: The Search for Grandma's Remedy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40K,N/A,Sales up until 1999,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/84997639/the-gazette/,N/A,N/A,N/A
The War in Heaven,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10K,N/A,Sales up until 2000,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/88853423/the-wichita-eagle/,N/A,N/A,N/A
MindRover,N/A,500K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/84995342/mindrover-budget/,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Monty Python's Complete Waste of Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50K,N/A,Sales up until 1994,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20081203235522/http://www.thefreelibrary.com/7th+Level%2c+Inc.+announces+strong+performance+and+prominent+awards+for...-a015955034,N/A,N/A,N/A
Pokémon Red and Blue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31M,13M,marketing budget in U.S only,N/A,N/A,N/A,N/A,N/A,N/A,https://247wallst.com/special-report/2018/01/30/most-popular-video-games-of-all-time/10/,https://www.newspapers.com/clip/89850019/the-cincinnati-enquirer/,N/A,N/A
Rune ,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86354917/the-capital-times/,N/A,N/A,N/A,N/A,N/A,N/A
Prey,2006,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,1M,N/A,Sales up until October 2006,N/A,N/A,N/A,https://www.newspapers.com/clip/90021450/wisconsin-state-journal/,N/A,N/A,https://www.videogamesblogger.com/2006/10/25/prey-sells-1-million-worldwide-3d-realms-reaffirms-prey-2.htm,N/A,N/A,N/A
Disruptor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,200K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85243171/the-los-angeles-times/,N/A,N/A,N/A
Spyro the Dragon,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85184768/the-los-angeles-times/,N/A,N/A,N/A
Deus Ex,2000,5M,7M,N/A,50,N/A,N/A,N/A,N/A,1M,N/A,Sales up until 2009,N/A,N/A,https://www.newspapers.com/clip/88380008/edmonton-journal/,https://www.newspapers.com/clip/88380008/edmonton-journal/,N/A,N/A,https://web.archive.org/web/20101224023520/http://www.square-enix.com/eng/pdf/news/20090422_02en.pdf (page 16),N/A,N/A,N/A
The Race Against Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25K,N/A,Sales up until 1988,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90012060/the-guardian/,N/A,N/A,N/A
Dragon’s Lair,1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90089955/the-daily-advertiser/
Solid Ice,1996,750K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90283745/the-gazette/,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NFL Blitz,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.ign.com/articles/1998/09/11/midway-hypes-nfl-blitz,N/A,N/A
Super Mario 64,N/A,N/A,N/A,N/A,N/A,N/A, 3 years,140M,N/A,11.91M,20M,Sales up until 2015,N/A,N/A,N/A,N/A,http://www.zeldalegends.net/index.php?n=interviews&id=1996-01-np080-miya-tezu&m=html,https://web.archive.org/web/20211019090512/https://www.newspapers.com/clip/21337013/shigeru-miyamoto-nintendo/,https://web.archive.org/web/20150914172624/http://www.gizmodo.co.uk/2015/09/30-best-selling-super-mario-games-of-all-time-on-the-plumbers-30th-birthday,https://www.newspapers.com/clip/90558960/statesman-journal/,N/A,N/A
Killer Instinct,1994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://books.google.lv/books?id=1AsEAAAAMBAJ&pg=PA87#v=onepage&q&f=false,N/A,N/A
Gone Home,N/A,0,200K,N/A,4,N/A,N/A,N/A,N/A,700K,N/A,Sales up until 2017,N/A,N/A,https://www.newspapers.com/clip/90549126/the-los-angeles-times/,https://www.newspapers.com/clip/90549126/the-los-angeles-times/,N/A,N/A,https://www.pcgamer.com/gone-home-prevented-tacoma-from-being-judged-on-its-own-says-creator-steve-gaynor/,N/A,N/A,N/A
The Flame in the Flood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90549419/the-boston-globe/,N/A,N/A,N/A
MindRover,N/A,500K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/84995342/mindrover-budget/,N/A,N/A,N/A,N/A,N/A,N/A,N/A
